reviewerID,negative,neutral,positive,helpfulness,burst,count
A3NMIRV5FDCMCQ,0.0,0.0,1.0,2.0,1.5,5
A26ZDKC53OP6JD,0.0,0.0,1.0,2.33333333333,4.0,5
A2L6LGTCAO02FY,0.0,0.2,0.8,1.0,1.5,5
A3KFXTFDSLOL79,0.0,0.0,1.0,0,0.25,5
A7DYBDGVB2LC4,0.0714285714286,0.142857142857,0.785714285714,0,0.555555555556,14
AYR0Z781PD8HL,0.0,0.0,1.0,0.5,2.0,6
AT7Z9VDDJ7DDI,0.0,0.0,1.0,1.8,1.0,6
A10YSK7RS1OIJ0,0.8,0.0,0.2,1.48564102564,0.428571428571,10
A3K24QUC72MWHF,0.0,0.0,1.0,1.66666666667,5.0,6
A3GDX8JY3J921V,0.0,0.0,1.0,2.16666666667,0.2,6
A1D2NDKVAS8NG1,0.214285714286,0.0,0.785714285714,10.1279530589,0.0769230769231,14
A2X1VX3BI2MLZL,0.0,0.166666666667,0.833333333333,1.0,0.2,6
A35GTOTYS2MS4W,0.0,0.0,1.0,1.3,1.33333333333,7
AQCLY4TP6UHYI,0.0,0.0,1.0,1.0,4.0,5
A3R3F5F98TSOR2,0.0,0.0,1.0,2.3,0.4,7
A2OS035EOBAMK4,0.0,0.0,1.0,2.83333333333,0.0,7
A3Z0AVHN6NFKH,0.222222222222,0.444444444444,0.333333333333,3.77207792208,0.0,9
A12A68NIAN9KHK,0.285714285714,0.0,0.714285714286,3.61538461538,0.166666666667,7
AN6ECYJTLTAAD,0.2,0.0,0.8,2.16666666667,1.5,5
A2FHLLL6FUJ6JA,0.0,0.2,0.8,2.0,0.25,5
A1FG2O1NAEP6D9,0.0,0.2,0.8,4.75,0.666666666667,5
A2BPB05QNCE00B,0.1,0.0,0.9,1.4,0.25,10
A23OYFPIL24JZ1,0.0384615384615,0.0384615384615,0.923076923077,13.7357146636,0.130434782609,26
AMV9Y4JA8ZYS,0.2,0.0,0.8,2.55555555556,0.0,5
A2BWI849007YL8,0.142857142857,0.428571428571,0.428571428571,2.33333333333,0.0,7
A3HIM4PSE5AM1P,0.0,0.0,1.0,0,3.0,8
AVEJNN6TKMDRR,0.0,0.2,0.8,3.5,0.666666666667,5
A3NWDVRYFBV72W,0.0120481927711,0.0361445783133,0.951807228916,28.9034213099,1.76666666667,83
AQPIDYKU69O3L,0.0,0.0,1.0,0,0.0,8
A1H35AWSZYWMDB,0.0,0.0,1.0,0.75,0.666666666667,5
A2ZOGZ604O4CI2,0.0,0.0,1.0,0.0,1.5,5
A2U7RFKK15IPT1,0.0,0.333333333333,0.666666666667,4.96666666667,0.0,9
A36A4LASDUXQT5,0.5,0.0,0.5,3.49476190476,0.5,6
A3RFTAWDL3ARG3,0.142857142857,0.142857142857,0.714285714286,1.71428571429,0.0,7
A1YL2PNHR32QF2,0.0,0.0,1.0,2.5,6.0,7
A25U5WJ69O224K,0.166666666667,0.333333333333,0.5,5.01666666667,0.0,12
ASJARQCPN5J9Y,0.0,0.125,0.875,3.5,1.66666666667,8
A287TAETJKLNKI,0.0,0.5,0.5,5.33333333333,0.333333333333,8
A17OVLOOJYDABM,0.1,0.3,0.6,2.28571428571,0.428571428571,10
ADGMNCO692GYP,0.0,0.142857142857,0.857142857143,2.45,0.75,7
A27SC4VWIQVMCK,0.727272727273,0.0,0.272727272727,3.88095238095,0.1,11
A3DF6FB3K824MI,0.0,0.0,1.0,0.5,1.5,5
A1YYN07O1K8Q9W,0.0416666666667,0.208333333333,0.75,16.3024644946,0.714285714286,24
ABOVQ74OQRZCM,0.4,0.0,0.6,2.67451689317,0.0,5
