A21O5ULBAZD8SZ,0,0,1,5,0.2352941176,21,TRUTHFUL
A2U1WQYFE8E63W,0,0,1,0,4,5,FAKE
A29C6EN5ADR5PD,0.4,0,0.6,1.6666666667,0,5,TRUTHFUL
ADSQBJ07R4B9B,0.2,0,0.8,0,0.25,5,TRUTHFUL
A3KFXTFDSLOL79,0.2,0,0.8,0,1.5,5,TRUTHFUL
A24QA99TB8OTA7,0,0.2,0.8,0,1,10,TRUTHFUL
A38Z4B8AU37IMR,0.3333333333,0,0.6666666667,1,0.5,6,TRUTHFUL
A7P7OP5UW6APV,0,0.1666666667,0.8333333333,1.2857142857,0.5,6,TRUTHFUL
A1DE5SY7SITVIU,0.4285714286,0,0.5714285714,2.380952381,0.4,7,TRUTHFUL
AGJCRK8QR0UO0,0,0.2,0.8,0,0.25,5,TRUTHFUL
ADO9A0TYX5GDU,0,0.2,0.8,1,4,5,FAKE
A317QVSSNIOPMU,0,0.2,0.8,3,0,5,TRUTHFUL
AFM7FK7NFEKFZ,0,0,1,4.7174603175,0,8,TRUTHFUL
A287DMSRR6HRFL,0.4,0.6,0,1,1.5,5,FAKE
A1CVGV0RJHIG3H,0.3333333333,0.1666666667,0.5,0,0.5,6,TRUTHFUL
A1088U89A8HWJX,0,0.6,0.4,2,0.6666666667,5,TRUTHFUL
A11NCQN1Q2IWT4,0.2,0,0.8,1,0.25,5,TRUTHFUL
A3BKEZ129G9JE9,0.2,0.2,0.6,0,0.25,10,TRUTHFUL
A2OY0RKXHQVD3E,0,0.1428571429,0.8571428571,2,0.4,7,TRUTHFUL
A1TKVMFVM1W2EB,0,0.0909090909,0.9090909091,1,1.75,11,TRUTHFUL
A7OCUC9MX712N,0.1666666667,0,0.8333333333,1,0.2,6,TRUTHFUL
A1DWVA2JDP7HTH,0,0.1111111111,0.8888888889,1,1.25,9,TRUTHFUL
A3Q35M74RGSHIX,0,0,1,1,0.25,5,TRUTHFUL
A2TCNHWJ1LFRV1,0.1111111111,0,0.8888888889,1,0.8,9,TRUTHFUL
ABRJZC4Y3AXPH,0,0,1,0,0.5,6,TRUTHFUL
A2BK0JAPQGP4Z8,0,0.2,0.8,0,0.25,5,TRUTHFUL
A14XSWMARN5QAK,0.375,0,0.625,1,3,8,FAKE
A12A68NIAN9KHK,0.1666666667,0.1666666667,0.6666666667,2.3059442725,0.2,6,TRUTHFUL
A2DIGXOS9CRPBE,0.2,0,0.8,1,0.6666666667,5,TRUTHFUL
AE87202VG3JDI,0,0.2,0.8,2.976635514,0.25,5,TRUTHFUL
A3K90CWQWKQGL1,0.2,0.2,0.6,1,0.6666666667,5,TRUTHFUL
A1KE06KXZCYVWG,0.3846153846,0,0.6153846154,4.2777777778,0.1818181818,13,TRUTHFUL
A2CC9Q3V0KAW63,0,0.1666666667,0.8333333333,0.5,1,6,TRUTHFUL
A3NWDVRYFBV72W,0,0,1,2,0,5,TRUTHFUL
A8D7VZOUGOSUV,0.6666666667,0.1666666667,0.1666666667,0.5,1,6,TRUTHFUL
A2RJBMIFFUGUYN,0,0,1,1,0.6666666667,5,TRUTHFUL
A2BRUI1IG8YFUC,0.1428571429,0.4285714286,0.4285714286,1,1.3333333333,7,TRUTHFUL
A22OL53QZOM1WI,0,0.2,0.8,0.6666666667,0.6666666667,5,TRUTHFUL
A2GR77INMKX9O4,0.1428571429,0.1428571429,0.7142857143,1,0.75,7,TRUTHFUL
A3JS6HJ9RQFYCW,0,0,1,2,0,6,TRUTHFUL
AOHO9LCKH7WYX,0.1428571429,0,0.8571428571,1,2.5,7,TRUTHFUL
A1Y3FEUELH3FTI,0,0,1,0,0.4,7,TRUTHFUL
A2GUNK41KY79X5,0,0,1,1,0,5,TRUTHFUL
A3OSECC94X20C8,0,0.2,0.8,0,0.6666666667,5,TRUTHFUL
A8AOUGMVLER3L,0,0.4285714286,0.5714285714,2,0.75,7,TRUTHFUL
A25CY0I386755K,0,0.1428571429,0.8571428571,0,2.5,7,TRUTHFUL
A3F7SKMP68RGHL,0.2,0,0.8,0,0.6666666667,5,TRUTHFUL
A3FB8CUGO3QK0,0.2,0.4,0.4,0,4,5,FAKE
A1K7Z84LAQXJH1,0.4,0,0.6,3.5,0,5,TRUTHFUL
A36NKHDBTFN8L5,0,0.2,0.8,0,0.25,5,TRUTHFUL
A3ANCQB1D8GLIL,0,0.2,0.8,0,0.6666666667,5,TRUTHFUL
A18K94O1HEEFFP,0,0.2,0.8,2.7142857143,0,5,TRUTHFUL
A3LZ3ZAIQTHJPP,0.1666666667,0.1666666667,0.6666666667,0,2,6,TRUTHFUL
A1BLQ0ISWZK5V4,0,0,1,0,1,8,TRUTHFUL
A17Y6JWACWLAXE,0,0.6,0.4,0,4,5,FAKE
A39P5WRYFYQWEV,0,0,1,0,4,5,FAKE
A1WJ9679CCAXNS,0,0,1,2,0,5,TRUTHFUL
AOC9E0EFV3PPC,0,0,1,1,0.5,6,TRUTHFUL
A2S2GRTP3L8EEC,0.6,0,0.4,1,0.6666666667,5,TRUTHFUL
A2GWEUHB5WV194,0,0.3333333333,0.6666666667,1.7692307692,0.5,6,TRUTHFUL
AS372BT4HCYL1,0,0.2,0.8,1,4,5,FAKE
A2WIZDRF5R7VKQ,0.2,0.6,0.2,0,0.25,5,TRUTHFUL
A21YAVV6CXO9I2,0.1666666667,0.5,0.3333333333,0,5,6,FAKE
A2I8KUDXTC9WYI,0,0,1,0,0.5,15,TRUTHFUL
AIBG2ARVCA432,0.6,0,0.4,0.7142857143,0.25,5,TRUTHFUL
A36ENEOTDAKTDL,0,0.3333333333,0.6666666667,0,1,6,TRUTHFUL
A16EBND18E5ZHB,0,0.1666666667,0.8333333333,1,0.2,6,TRUTHFUL
A2OSM4R5DT1HSN,0,0.1428571429,0.8571428571,0,2.5,7,TRUTHFUL
A1NE6AUD313ZYP,0,0,1,0,4,5,FAKE
A1TSS7JDXL90TD,0,0.6,0.4,1,0,5,TRUTHFUL
ADA0CDISNCDYM,0.2,0.2,0.6,1.3235294118,0.25,5,TRUTHFUL
A2GCQ9R1QIUDS2,0.1428571429,0,0.8571428571,1.6666666667,0.1666666667,7,TRUTHFUL
A3XPRA7BJCLRE,0,0,1,0.8333333333,1.5,5,TRUTHFUL
A3T53I3KG1QVSZ,0.3333333333,0.3333333333,0.3333333333,0.5,2,9,FAKE
A3QM34OFDJI83W,0.2,0,0.8,1.3636363636,0.6666666667,5,TRUTHFUL
A3K437IJAQ8XCQ,0.6666666667,0.1666666667,0.1666666667,0,2,6,FAKE
ATU3LX13K695B,0.1666666667,0,0.8333333333,1,0.2,6,TRUTHFUL
A2LRIURBNT9IDF,0,0,1,1,0,6,TRUTHFUL
AGZ9LJMSUXYK5,0.4,0.2,0.4,1,0,5,TRUTHFUL
A1WUND9POA0PG4,0.1666666667,0,0.8333333333,0,0.5,6,TRUTHFUL
A3JQ4VY60CLZMJ,0,0,1,0.5,0.6666666667,5,TRUTHFUL
